consectetuer adipiscing elit,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,83,100
magna at,Fusce consequat. Nulla nisl. Nunc nisl.,51,29
sit amet consectetuer adipiscing,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,40,78
vel accumsan,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",20,45
nulla dapibus dolor,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",65,73
quam,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",98,2
mattis odio donec vitae nisi,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",41,65
justo morbi,In congue. Etiam justo. Etiam pretium iaculis justo.,63,21
accumsan,Fusce consequat. Nulla nisl. Nunc nisl.,76,30
eros suspendisse accumsan,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",81,54
mauris lacinia sapien quis,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",87,52
porta,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",19,64
mi in porttitor pede justo,Phasellus in felis. Donec semper sapien a libero. Nam dui.,64,40
id sapien,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,73,31
est lacinia nisi venenatis,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,95,21
etiam,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,63,64
amet consectetuer adipiscing elit,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",6,10
in faucibus orci luctus,Fusce consequat. Nulla nisl. Nunc nisl.,25,17
pede posuere nonummy,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,65,21
amet erat nulla,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,4,72
nibh in,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",80,11
fringilla rhoncus,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,52,9
aliquam,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",52,99
nunc,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",92,71
pede morbi porttitor lorem id,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",7,53
amet erat nulla tempus,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",12,23
consequat dui nec nisi volutpat,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",100,22
quisque erat eros,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",61,79
sapien a,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,51,96
adipiscing lorem vitae mattis nibh,Fusce consequat. Nulla nisl. Nunc nisl.,7,14
nisi,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,64,31
mi sit amet lobortis sapien,Fusce consequat. Nulla nisl. Nunc nisl.,83,16
nunc commodo,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",59,43
nonummy,Sed ante. Vivamus tortor. Duis mattis egestas metus.,75,93
sollicitudin mi sit,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",50,88
et ultrices posuere,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",4,31
nisl duis,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",78,3
auctor sed,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,2,81
sodales scelerisque mauris sit,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,87,40
viverra eget congue eget,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,75,4
curabitur convallis duis consequat,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",97,32
quis lectus suspendisse potenti in,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,88,83
et eros,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",83,88
facilisi,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",54,13
vitae mattis nibh,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",64,62
consequat varius integer ac leo,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",29,13
nunc,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,4,25
mauris ullamcorper purus sit,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,93,77
nunc,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",47,88
lacinia erat vestibulum sed magna,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,67,84
elementum eu interdum,In congue. Etiam justo. Etiam pretium iaculis justo.,9,3
molestie hendrerit at vulputate vitae,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",60,33
vulputate ut ultrices,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,4,48
sem,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",6,66
nulla,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",17,88
vehicula consequat morbi a,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",51,68
nullam sit amet,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",42,60
sollicitudin,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",25,32
justo pellentesque viverra pede ac,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",18,25
nibh in,In congue. Etiam justo. Etiam pretium iaculis justo.,100,38
nulla suspendisse potenti cras in,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",52,22
ligula vehicula,Fusce consequat. Nulla nisl. Nunc nisl.,17,98
eleifend quam a odio,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,32,43
in ante vestibulum ante ipsum,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",63,90
magnis,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,6,10
nunc rhoncus dui vel,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",98,68
porttitor pede justo eu,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",46,59
nec molestie,Sed ante. Vivamus tortor. Duis mattis egestas metus.,45,13
volutpat sapien arcu sed,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,63,80
nam tristique tortor,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",58,12
elit proin,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",38,76
dui maecenas tristique est et,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,15,27
semper porta volutpat quam pede,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,93,40
quisque arcu,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",14,2
quis turpis eget,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",90,1
curae,Fusce consequat. Nulla nisl. Nunc nisl.,61,58
odio,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",87,39
rhoncus dui,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",20,42
volutpat quam pede,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,94,98
ac neque duis bibendum,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,52,4
eget tincidunt eget,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,43,92
